question,ground_truth
"What is the scope of the admission policy at ABC International School, Powai, and what are its key principles?","The Admission Policy of ABC International School, Powai governs student enrolment from Nursery (Pre-Primary) through Grade XII for Academic Year 2025–26. It is framed in accordance with the Right to Education Act, 2009, CBSE Affiliation Byelaws 2018, and directives issued by the Maharashtra School Education Department. Admissions are open to all children regardless of caste, religion, gender, or disability. The school does not charge any capitation fee or donation during the admission process. No academic screening test is conducted for students below Grade 6. Twenty-five percent of Grade 1 seats are reserved for Economically Weaker Section (EWS) and Disadvantaged Group applicants under the Right to Education Act. When applications exceed available seats, a waiting list is maintained. All admissions remain provisional until document verification is completed and the required fees are paid."
"What is the admission timeline for Academic Year 2025–26 at ABC International School, Powai?","The admission cycle begins with the online registration portal opening on 15 October 2024 and closes on 31 January 2025. Original document verification is conducted from 3 February to 14 February 2025. Parent and child interactions for Nursery to Grade 5, along with aptitude tests for Grade 6 and above, take place from 17 February to 28 February 2025. The first provisional merit list is published on 10 March 2025, followed by the fee payment window from 11 March to 18 March 2025 to confirm admission. If seats remain available, a second merit list is released on 25 March 2025. The admission process concludes on 31 March 2025, and the academic session begins on 10 June 2025."
What priority criteria does ABC International School follow while granting admissions?,"ABC International School follows a defined order of priority when allocating seats. First preference is given to siblings of currently enrolled students studying at the same campus. Second priority is provided to children of teaching and non-teaching staff members. Third priority is assigned to children of alumni from any campus within the ABC Network. Fourth preference is given to applicants residing within one kilometre of the school under the neighbourhood criterion. Fifth priority is reserved for Grade 1 applicants belonging to the Economically Weaker Section (EWS) and Disadvantaged Group categories under the Right to Education Act. If seats are still available after these categories, admissions are granted based on general merit determined by the applicant's age seniority according to the date of birth. "
What are the eligibility requirements and conditions for lateral (mid-session) admission?,"Lateral or mid-session admission is permitted only when vacancies are available in the requested grade. Such admissions are generally allowed for students seeking entry into Grades 1 to 8. Admission to Grades 9, 10, 11, and 12 through lateral entry is not permitted without prior approval from the respective CBSE or Cambridge authorities. Applicants must submit a Transfer Certificate from their previous school, mark sheets for the previous two academic years, Aadhaar details, and a character certificate. Before admission is confirmed, the concerned Head of Department conducts a subject assessment. Once all required documents are submitted, the application is typically processed within five to seven working days. "
What information is collected in the official admission form for Academic Year 2025–26?,"The official admission form collects comprehensive information required to process a student's application. This includes the student's personal information, date of birth, gender, Aadhaar details, parent or guardian information, residential address, previous school details, academic history, medical information, emergency contact details, and transport requirements. The form also records optional or special requirements, such as learning support or medical accommodations, and includes declarations and consent from the parent or guardian confirming that the information provided is accurate. The completed admission form is available both online and in physical format for Academic Year 2025–26."
What information is required to complete the Student Enquiry Form for admission?,"The Student Enquiry Form requires detailed information about both the student and the parents. Applicants must provide the enquiry date, enquiry ID, source of enquiry, child's full name, date of birth, age, gender, class for which admission is sought, preferred academic year, and preferred board (CBSE, IGCSE, or Cambridge). The form also collects the father's and mother's names, occupations, mobile numbers, email addresses, residential address, current school details, current class and board, reason for seeking admission, sibling information if applicable, how the family learned about the school, any specific queries, the assigned admission counsellor, the next follow-up date and mode, and the lead status (Hot, Warm, Cold, Converted, or Lost)"
"Can parents submit the admission enquiry form online, and what happens after submission?","Yes. Parents can submit the admission enquiry form online through the school's admissions website or contact the admissions team via WhatsApp to receive a digital enquiry form. After the enquiry form is successfully submitted, an admission counsellor contacts the parent within 24 working hours to discuss the admission process. The counsellor explains the next steps, which typically include scheduling a campus visit and arranging an entrance assessment or interaction, depending on the student's grade level. The enquiry submission is completely free and does not create any obligation to proceed with admission."
"How can parents book a campus visit, and what are the available visit timings?","Parents can schedule a campus visit by calling the admissions office, sending an email to the admissions team, or completing the Campus Visit Booking Form available on the school's website. During the booking process, parents select their preferred visit date and one of the available time slots. Campus visits are conducted Monday through Saturday at 9:00 AM, 10:30 AM, 12:00 PM, 2:30 PM, and 4:00 PM, excluding public holidays and examination days. The visit usually includes a guided tour of classrooms, laboratories, library, sports facilities, cafeteria, and a discussion with an admissions counsellor."
What details are recorded in the Campus Visit Booking Form?,"The Campus Visit Booking Form records the visit request ID, booking date, first and second preferred visit dates, preferred time slot, parent's name, contact number, email address, child's name, class for which admission is being sought, preferred board (CBSE, IGCSE, or Cambridge), number of adult and child visitors, areas of interest such as classrooms, laboratories, library, sports facilities, art and music rooms, hostel, cafeteria, or the complete campus, and any special requirements such as wheelchair accessibility or language interpretation. The form also includes fields for confirmation by school staff, confirmation reference number, assigned counsellor, and tour guide."
"How long does a campus visit usually take, and what can parents expect during the visit?","A typical campus visit lasts approximately 60 to 90 minutes. During the visit, parents and students are guided through important areas of the campus, including classrooms, science laboratories, computer laboratories, the library, sports facilities, and the cafeteria. Families also have an opportunity to interact directly with an admissions counsellor during a dedicated question-and-answer session. Parents are encouraged to bring their children so they can become familiar with the school environment before making an admission decision. The campus visit is provided free of cost."
"How can a former student register as an alumnus of ABC International School, Powai?","Former students can register as alumni by visiting the school's website and accessing the Alumni Portal. They must click ""Register as Alumni"" and verify their identity using their Admission Number and Date of Birth. After verification, they are required to complete the online registration form by providing personal, academic, and career information. Applicants must upload a recent photograph in JPG or PNG format (maximum size 2 MB) and, if necessary, upload proof of passing such as a mark sheet or Transfer Certificate if it is not already available in the school's records. After submitting the form, the membership fee can be paid online through UPI, Net Banking, or Card. Once the registration is successfully completed, the applicant receives a confirmation email containing their Alumni ID within three working days."
What information is collected in the Alumni Registration Form?,"The Alumni Registration Form collects comprehensive information about former students. It includes personal details such as full name, date of birth, gender, nationality, blood group, and optional Aadhaar or PAN information. Academic details include the admission number, year of admission, year of passing Class X or XII, board of education (CBSE, IGCSE, or IB), stream, house or division, class teacher, and any achievements or awards received during school. Contact information includes the current address, mobile numbers, primary and secondary email addresses, LinkedIn profile, and optional social media handles. The form also gathers higher education and career details such as college or university, degree, graduation year, employer, designation, industry sector, city of work, and country if working abroad. In addition, alumni can indicate their membership category, willingness to mentor students, deliver guest lectures, participate in donations or CSR activities, preferred communication method, and must complete a declaration confirming the accuracy of the information provided."
What membership preferences can alumni choose while registering with the Alumni Association?,"During registration, alumni can choose from Life Member, Annual Member, or Honorary Member categories. They may also indicate whether they are willing to mentor current students, deliver guest lectures, or participate in donations and Corporate Social Responsibility (CSR) initiatives. The registration form asks how the alumnus learned about the Alumni Association, with options including school notices, WhatsApp, social media, or peers. Alumni can also specify how they wish to receive newsletters and official communications by selecting Email, WhatsApp, Both, or None according to their preference. "
Where should the completed Alumni Registration Form be submitted?,"After completing the Alumni Registration Form, alumni can submit it either electronically or physically. The completed form may be emailed to alumni@ABCinternational.com or submitted directly to the Alumni Office at ABC International School, Hiranandani Gardens, Powai, Mumbai – 400076. The declaration accompanying the form confirms that the information provided is accurate and grants consent for the school to use the data for alumni communication and association-related activities. "
